ID_Analisis,Titulo_Analisis,Fecha_Analisis,Sentimiento_Global,ID_Opinion,Contenido,Origen,Metadata_Externa,Fecha_Opinion
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","097e2af0-8cc7-4839-be6e-7e861873bf94","20,Sara,5,2025-02-27,Opinión 20,Las raciones eran generosas y bien presentadas.,10","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","0a0272f6-3982-4159-8063-948c35d35657","8,Raúl,4,2025-01-22,Opinión 8,""Ambiente agradable, ideal para cenar en pareja."",1","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","0db99721-aef4-4460-b620-55fc9b9982db","11,Natalia,4,2025-01-31,Opinión 11,Volvería sin duda por la calidad de los platos.,16","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","0f0e0c2e-f4a9-40c4-a407-bd23f9b39805","28,Álvaro,5,2025-03-23,Opinión 28,Buena relación calidad-precio.,7","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","114722d8-6ed3-4cd5-8d44-6ba7120cfb22","35,Sergio,4,2025-04-13,Opinión 35,""Ambiente agradable, ideal para cenar en pareja."",9","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","12cc7c6f-9f21-41b8-9cfa-32e308aec6a6","26,Lucía,3,2025-03-17,Opinión 26,Postres muy recomendables.,11","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","216a7d76-91a4-410c-ac49-ca8fae282816","23,Paula,5,2025-03-08,Opinión 23,La decoración del local está muy cuidada.,7","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","27ec3c8a-ce6f-40a1-af0e-e55fa9b7b33f","27,Sergio,4,2025-03-20,Opinión 27,El personal fue amable durante toda la visita.,22","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","2934d08c-7912-470e-9b7f-3a1d18e12163","4,Ana,5,2025-01-10,Opinión 4,La decoración del local está muy cuidada.,1","MANUAL","","2026-06-17 18:43:08"
"085d2aa0-0f2e-4468-9f80-23db304f11de","asd1","2026-06-17 18:43:07","POSITIVE","2b88f6b2-613f-46d5-95cd-c0d960160e87","12,Carlos,3,2025-02-03,Opinión 12,El personal fue amable durante toda la visita.,19","MANUAL","","2026-06-17 18:43:08"
